text,created_at,n_words,bias-1,positive-1,figurative-0,offensive-1
@karatblood @KazePlays_JC Grab @realDonaldTrump by the balls &amp; chuck the bastard out the door onto #PennsylvaniaAvenue &amp; form a line &amp; everybody gets to kick #DonaldTrump in the nuts! Please note 1 kick per person only! #BidenHarrisToSaveAmerica #VoteBlueToSaveOurDemocracy,2020-10-15 00:01:30,21,0.33015522360801697,0.00027195126,0.27652353048324585,0.7416719198226929
Ice Cube is teaming up to work with President Trump in developing The Platinum Plan. #2020election #AfricanAmericans #BlackAmerican #DiamondandSilk #DonaldTrump #featuredonWJLive #politics #race #TWJReports #USnews https://t.co/XFkzWFMbK0,2020-10-15 00:01:32,9,0.14745905995368958,0.027631091,0.8434135317802429,0.08521378040313721
"@FloridaMan__ Lemme make sure I get this right ... sooo ... *checks notes* ... the 1st #tRump supporter vandalized the property of the 2nd #tRump supporter,  because the 1st #tRump supporter believed that 2nd #tRump supporter was making #TrumpCovid19 look 'too racist'? 

Did I get it all?? https://t.co/bkH8R737Qa",2020-10-15 00:01:39,23,0.21532462537288666,0.016048811,0.1875096708536148,0.4923951923847199
"#BlacksForTrump 
#BlackVoicesForTrump 
#BidenIsARacist 
#BlackFathersMatter 
#BlackVotersMatter 
Vote @GOP down ticket &amp; give #Trump somebody to work with 
#DemocratsAreDestroyingAmerica https://t.co/fiqQfIhJgi",2020-10-15 00:01:42,6,0.5953484177589417,0.43850079999999997,0.6518638730049133,0.10886531323194504
"@ChrisDJackson New respect here for @Scaramucci. 

The vile, hateful ugliness of #Trump’s #LawAndOrder America.",2020-10-15 00:01:44,6,0.5556329488754272,0.17857194,0.6902163624763489,0.8211610913276672
"#JimJordan, #DevinNunes, #MattGaetz, #JohnCornyn, #BillBarr, #DonaldTrump &amp; the rest who railed about it, should be indicted &amp; go to jail for perpetuating a fraud against the #American people over the perfectly legal ""unmasking"" of General Flynn.
They make me sick!

#LockThemUp! https://t.co/m7XSsW58eh",2020-10-15 00:01:48,17,0.06824998557567596,9.182054e-05,0.5523584485054016,0.9168161153793336
@icecube good for you. @TheDemocrats only care if you toe the line and follow their narrative. They do not care if they help the under served as they claim. #DonaldTrump policies helped black America and they cannot give him any credit. @TheDemocrats policies have never helped! https://t.co/jsPC0HjIXZ,2020-10-15 00:01:49,21,0.13439984619617462,0.060081873,0.40727150440216064,0.3814195692539215
"#TheReidOut 

Am I suppose to feel badly for @OMAROSA? Isn't she the person who once claimed #Trump critics would have to bow at the feet of Donald? Sorry the snakes deserve one another. 

@JoyAnnReid",2020-10-15 00:01:53,15,0.3073264956474304,0.00014552375,0.4767632782459259,0.6102284789085388
"@MarcInPhoenix @CIAspygirl #Trump
#TrumpLiesAmericansDie 

80+ researchers warn that a so-called #herdimmunity approach to managing #COVID19 is “a dangerous fallacy unsupported by the scientific evidence” #WCPH2020 

#WearAMask 
#MaskUp 

https://t.co/96TExQws1Z",2020-10-15 00:02:19,11,0.1424044519662857,0.022428247999999998,0.836568295955658,0.1743496209383011
"@NegarMortazavi #tRump is according to his niece a metally sick person. How can you ask such a mental case to behave as a feeling person?

#tRump ist the -&gt; Pest Of The United States",2020-10-15 00:02:26,17,0.1565113514661789,0.00010333094999999999,0.524400532245636,0.7993339896202087
"216,000 deaths those people when away magically it was so amazing we dont need to fear #COVID19 just fear the #COVIDIOTS sad so many #fools believe #TrumpIsALaughingStock #TrumpPence2020 #TrumpFakedCovid #Trump #TrumpFailed #DumpTrump #TrumpCrimeFamily #TrumpLiesAmericansDie https://t.co/9uKskvsO27",2020-10-15 00:02:38,14,0.08106962591409682,0.0008759979400000001,0.9694161415100098,0.3708341121673584
"We don't need no education

WE DON'T NEED NO THOUGHT CONTROL🎶

ALL AND ALL IT'S JUST ANOTHER BRICK IN...🎶

TRUMP'S WALL 🎶🇺🇸

#realDonaldTrump @realDonaldTrump @DonaldJTrumpJr #DonaldTrumpJr #Debates2020 #Debate2020 #DonaldTrump #TrumpPence2020 #FoxNews #CNN #Trump2020Landslide",2020-10-15 00:02:48,9,0.2305755317211151,0.0005786199,0.8540018200874329,0.35810622572898865
"""Suburban women, will you please like me?"" Trump pleaded. ""I saved your damn neighborhood “ #trump openly begging for #votes #donaldtrump #dumptrump #berniesanders #bidenharris2020 #biden2020 #harris2020 #election #RegisterToVote #election2020   https://t.co/YCNA9FlJug",2020-10-15 00:02:53,11,0.1515854150056839,9.359271e-07,0.5151059627532959,0.6203276515007019
@glennkirschner2 So basically the American experiment has failed ; we have no power we are just at the mercy to theses people .. not just Trump but the people who are down for his agenda ; because let’s not pretend #Trump hasn’t done anything that the isn’t on the GOP’s wish list ..,2020-10-15 00:02:55,20,0.20550322532653809,1.0779529e-05,0.6262355446815491,0.23777513206005094
#hunterbiden trending on all social media and credible news outlets and here’s #cnn showing their  “Coronavirus Crisis” fear mongering bit.. this is why you’re the epitome of fake news #trump2020 #DonaldTrump #coronavirus #CNNFakeNews @realDonaldTrump @DonaldJTrumpJr @DC_Draino,2020-10-15 00:02:58,15,0.1336035579442978,5.357694e-05,0.22508561611175534,0.29212117195129395
"#tRump is using the DOJ with our tax dollars to retaliate against political opponents and former WH staffers. Vote this sick fuck out! 
#VoteBidenHarris2020",2020-10-15 00:02:58,13,0.2002862393856049,0.0018017859,0.7013334035873413,0.9751064777374268
#DonaldTrump #TheInfected @POTUS is a doofus who will fall for anything and lie about everything. https://t.co/2wRI16XbbQ,2020-10-15 00:03:04,5,0.4434747993946075,0.00373313,0.5459803938865662,0.3085300922393799
"Did Twitter block me for screenshotting the Hunter Biden Story?? If you can see this follow &amp; retweet my Hunter Biden screenshots!!

help this Texas patriot get more followers to get the News to people!

#Trump 
#TrumpTrain
#TrumpPence2020",2020-10-15 00:03:10,22,0.20352590084075928,0.00585657,0.8814221024513245,0.22138035297393802
@PressSec @Twitter Americans value truth 👉🏾stop #trump #propaganda #lies #corruption 👉🏾 #VoteBiden 👉🏾#bankruptbillionaire = @realDonaldTrump 👉🏾 #fraud #TaxCheatTrump #CheaterInChief 👉🏾#NewJersey says #TrumpIsANationalDisgrace #TrumpCrimeFamily,2020-10-15 00:03:22,5,0.3425385653972626,0.03605004,0.8219940662384033,0.07140855491161346
"My cousin posted this on Facebook. A message from her Doctor's office. This the BS I be talking about. THE NERVE. 

#Vote #Trump #BidenHarris https://t.co/wfrYPJPdce",2020-10-15 00:03:22,9,0.03429904207587242,0.0020183616,0.2730112373828888,0.4171779453754425
@thehill ..   It's Common Knowledge™ that this concerns #BabyGate #BunkerBoy- n-bitch #maga #kag  #CaptainContagious #DonaldTrump to no end .. AND realizing the PLOT to destroy the #USPS was a stupid idea  . . . https://t.co/Zo9kPiN2Rx,2020-10-15 00:03:23,11,0.14913594722747806,1.2590943e-05,0.8506304621696472,0.9722267985343932
"#Trump collusion w Russia. @GOP let him off. Stripping ACA after #Trump let CV spread, 220K dead Americans. Millions unemployed. Small businesses struggling. No CV plan.  Russia &amp; NK escalating. $430 Million owed? Taxes/financials obstructed. Voter suppression. Give AF abt Hunter https://t.co/BQNKFxwxYS",2020-10-15 00:03:25,35,0.06309147924184799,2.5897863000000004e-05,0.39281991124153137,0.7059280276298523
"#Trump: You don't mind if I go off script, right? This stuff is--you don't want to hear about Hunter and his millions of dollars. Where's Hunter? Is he here? Where's Hunter?

Things have gone...awry.",2020-10-15 00:03:32,15,0.1995609551668167,0.0016476804,0.5321547389030457,0.268025666475296
Good news are NOT broadcasted by fake news.  It's really sad! Thank you Mr. Trump! #DonaldTrump https://t.co/YLf75cCmqM,2020-10-15 00:03:33,11,0.3216210901737213,0.31997305,0.3032746911048889,0.4829525649547577
@Zillalady @maddow @Lawrence @chrislhayes @11thHour @govkristinoem Wonder what time @KristiNoem will be on Fox News talking about how well her state is doing from an office in a different state promoting #trump,2020-10-15 00:03:46,11,0.2937585413455963,0.035289317,0.2724165916442871,0.1168450117111206
"@WhiteHouse @POTUS 216,000 deaths those people went away magically it was so amazing we dont need to fear #COVID19 just fear the #COVIDIOTS so many #fools believe #TrumpIsALaughingStock #TrumpPence2020 #TrumpFakedCovid #Trump #TrumpFailed #DumpTrump #TrumpCrimeFamily #TrumpLiesAmericansDie @POTUS https://t.co/OiQQOSYzyv",2020-10-15 00:03:49,14,0.08147360384464264,3.8083745e-05,0.9736353754997252,0.3693433701992035
"“We have heard the Election called at midnight, Master #Trump.” https://t.co/aT5l2m6uDb",2020-10-15 00:03:52,5,0.2321421205997467,0.24962184,0.6938999891281128,0.08048050105571747
"Hello!!
For your image background removal, retuch or resize it-

Check out our Gig on Fiverr:

https://t.co/AL75SrBXVa

#photoshop #backgroundremoval  #removebackground #Retouching  #DonaldTrump #Lowa #DesMoines #cutout #image #Crocs #Dexter #SHOWTIME #MichaelCHall
@fiverr",2020-10-15 00:03:57,9,0.09245699644088744,0.0009730225999999999,0.5805252194404602,0.05151882767677307
"@TwitterSafety @Twitter @RecIaimTheNet This is serious interference and censorship in an ongoing democratic election Twitter! What proofs do you have that this is ""Hacked Materials""?
#news #politics #censorship #Election2020 #election #Biden  #Trump https://t.co/cYQmAyVizU",2020-10-15 00:04:03,10,0.08119013160467148,0.14769620000000003,0.338666170835495,0.05136474221944809
"Do you ever think that #Giuliani, a man who used to have a respectable reputation...is going to end up in prison? Because he's involved in too many shady enterprises..#Ukraine #Russia #Trump #Corruption #GOP #Republicans #MAGA #forged #HunterBiden @NYPost 
https://t.co/QQYyHgdTJj https://t.co/MY5HOog4Ti",2020-10-15 00:04:11,13,0.11609892547130585,5.6561705000000005e-05,0.4973644316196442,0.5103133916854858
