Descriptor,2016-08-30,2016-08-31,2016-09-01,2016-09-02,2016-09-03,2016-09-04,2016-09-05,2016-09-06,2016-09-07,2016-09-08,2016-09-09,2016-09-10,2016-09-11,2016-09-12,2016-09-13,2016-09-14,2016-09-15,2016-09-16,2016-09-17,2016-09-18,2016-09-19,2016-09-20,2016-09-21,2016-09-23,2016-09-24,2016-09-25,2016-09-26,2016-09-27,2016-09-28,2016-09-29,2016-09-30,2016-10-01,2016-10-02,2016-10-03,2016-10-04,2016-10-05,2016-10-06,2016-10-07,2016-10-08,2016-10-09,2016-10-10,2016-10-11,2016-10-12,2016-10-13,2016-10-14,2016-10-15,2016-10-16,2016-10-17,2016-10-18,2016-10-19,2016-10-20,2016-10-21,2016-10-22,2016-10-23,2016-10-24,2016-10-25,2016-10-26,2016-10-27,2016-10-28,2016-10-29,2016-10-30,2016-10-31,2016-11-01,2016-11-02,2016-11-03,2016-11-04,2016-11-05,2016-11-06,2016-11-07,2016-11-08,2016-11-09,2016-11-10,2016-11-11,2016-11-12,2016-11-13,2016-11-14,2016-11-15,2016-11-16,2016-11-17,2016-11-18,2016-11-19,2016-11-20,2016-11-21,2016-11-22,2016-11-23,2016-11-24,2016-11-25,2016-11-26,2016-11-27,2016-11-28,2016-11-29,2016-11-30,2016-12-01,2016-12-02,2016-12-03,2016-12-04,2016-12-05,2016-12-06,2016-12-07,2016-12-08,2016-12-09,2016-12-10,2016-12-11,2016-12-12,2016-12-13,2016-12-14,2016-12-15,2016-12-16,2016-12-17,2016-12-18,2016-12-19,2016-12-20,2016-12-21,2016-12-22,2016-12-23,2016-12-24,2016-12-25,2016-12-26,2016-12-27,2016-12-28,2016-12-29,2016-12-30,2016-12-31,2017-01-01,2017-01-02,2017-01-03,2017-01-04,2017-01-05,2017-01-06,2017-01-08,2017-01-09,2017-01-14,2017-01-15,2017-01-30,2017-01-31,2017-02-01,2017-02-02,2017-02-03,2017-02-04,2017-02-05,2017-02-06,2017-02-07,2017-02-08,2017-02-09,2017-02-10,2017-02-11,2017-02-12,2017-02-13,2017-02-14,2017-02-15,2017-02-16,2017-02-17,2017-02-18,2017-02-19,2017-02-20,2017-02-21,2017-02-22,2017-02-23,2017-02-24,2017-02-25,2017-02-26,2017-02-27,2017-02-28
bias-1,0.2468937909913432,0.2480550319822849,0.2476289394640433,0.2507137348594921,0.25169410135646264,0.2528416453372901,0.251136565031434,0.24752201864156315,0.2447269030116889,0.24486650244340305,0.2469691382867139,0.2568260678150437,0.253404732340766,0.24898931809094146,0.2470493254514826,0.24730788343713306,0.2517813869751249,0.2570769333336239,0.2503757579156727,0.24506070553435425,0.2440695180444471,0.24682406828800885,0.2479320520392348,0.2561616956051881,0.2542174052716938,0.2543403868690536,0.2693997562400681,0.2609238051190102,0.2493795737284173,0.24728591614583034,0.2474988840259925,0.258540522446459,0.2331304018690389,0.2298102515329015,0.2498266186875029,0.2662616401290762,0.2504849561196052,0.24932590697105805,0.266783344889982,0.2697213749856437,0.2668022131015709,0.2650756750970108,0.257803954135044,0.2506921580806341,0.2521524426787541,0.2557239704305698,0.2587634696033904,0.2548338925758353,0.25784017223834543,0.2613742397721096,0.26602224041440314,0.2581809098154725,0.25714635383061824,0.2579465874874841,0.2543137884097779,0.2618448353653232,0.25732241762965313,0.2628302675357442,0.25431797498653,0.2488094660064157,0.24776800288797216,0.2478136731917028,0.2474224590653655,0.253596378134236,0.2615232026166727,0.2562369500421788,0.2628590827700755,0.2566043078117468,0.2758822960346776,0.3011735070156146,0.3128152084523734,0.2786686287204265,0.2763928350480532,0.2720587039220219,0.2708178505050961,0.26143499538812304,0.26474775508891274,0.2665975199628005,0.2619692140573551,0.26559714327718353,0.2612123483403187,0.2661726387911522,0.26051928535292984,0.2596261519517845,0.2590389906192518,0.26653623985488084,0.2612769073659456,0.2526499364347782,0.2642670064084184,0.2563328682439108,0.2509300823024542,0.2527390194068785,0.2435638071173621,0.259219317106538,0.24972190013668485,0.256745212115973,0.25277901952071585,0.24564881759447124,0.2573195938288506,0.25057989280593,0.25453820735720784,0.249526384235714,0.2483552499603169,0.2400983908934921,0.2480692080421618,0.2474766994519864,0.24395872074218014,0.2485438353301083,0.2530053983905607,0.256587856357635,0.26508556698051794,0.275663070835168,0.2663582371999601,0.254840099526836,0.2506476725053716,0.2532805079074516,0.2492454059236653,0.25499783764602835,0.2480690946717855,0.26087320143944925,0.2508942429953978,0.2482744388720628,0.2691394294158258,0.26841089319286504,0.25833019900690857,0.2495749038072846,0.2418625526415159,0.2479600184744196,0.24418319574907896,0.2499074489515944,0.2551234924971168,0.26055268482336136,0.2648432243037012,0.2552486998713315,0.2660621711787532,0.2673210499092508,0.2514267650352277,0.2533547279907771,0.2604044912879846,0.2598491232826409,0.2710890069954267,0.2533058586372621,0.25200785645950263,0.2548130959218337,0.2524948608370042,0.24970053073446186,0.2517390147442388,0.2571649003117769,0.2480184272291649,0.2421698949421813,0.2506944197726816,0.25875066763982296,0.2706601775536445,0.2549313072593265,0.2528047580638733,0.2550001290626074,0.2506506556702147,0.2496014524494305,0.24079731499280416,0.25282853423335383,0.2598809195497841,0.252741566158793,0.24595150469306545
positive-1,0.1196381956274762,0.12500149652314405,0.11476789029671465,0.11737654609569804,0.12492613694742626,0.11488183157234926,0.1177871437462076,0.12118005356759227,0.11761037122764342,0.1126428493145768,0.11404078235997712,0.1205081929601608,0.11858764462745924,0.11350697335187075,0.11515255633624935,0.11155925593534403,0.12000909177482427,0.12891209094968706,0.10337650534629024,0.11106347392773208,0.12096507048552145,0.11519052318518178,0.11742325176405298,0.12186719213881846,0.1182967094503545,0.12929936798043326,0.14617447926874566,0.12013118497067315,0.11684970138673464,0.11203784589808373,0.101275335067097,0.1094629795611228,0.10312883753127004,0.10246781764052344,0.1154764602057044,0.13138394697254735,0.13055633946540046,0.10611379379875804,0.10166626793147923,0.11129520395577874,0.12183083906888707,0.11376595025403348,0.11203254680987144,0.1038874348111464,0.11142128191130032,0.10950055313841048,0.1127810953087758,0.1105494345530358,0.11618453151444386,0.12636684858368902,0.12788268749342524,0.12580758364528352,0.12950509573517865,0.1358258373457608,0.13434033546765525,0.13235529344670002,0.13049775053028556,0.13164471109287304,0.1281821555561565,0.12605736711876206,0.12764999539453742,0.12847889871429236,0.12525765789742735,0.12980912996477054,0.13807202741677269,0.12884154968391065,0.14329694471640494,0.1333161993120383,0.14992551657817502,0.1864486632585139,0.2074002107504805,0.15121834824523378,0.1392686500120194,0.14519444854514094,0.1429080310718911,0.133138702016417,0.14093895984499735,0.13179426049529314,0.13070417182366878,0.13731817204576868,0.1211942994364863,0.12311742740224164,0.12502106560429016,0.1251547675650673,0.13156938641135116,0.187501588312493,0.1414812060160895,0.13007071148957955,0.12388777093655327,0.12733802365026434,0.11521540238259495,0.1335114150983878,0.1335988819912636,0.15764066300681573,0.12199919781044816,0.12430491371102907,0.1250596563547635,0.12572386027633886,0.13495618934324186,0.11184775914108393,0.12428738735276545,0.1208471355677804,0.11752531504407206,0.1065869341590378,0.12494596067080065,0.1281410116103118,0.11435664679647613,0.11837877169332475,0.12785976041582767,0.12206977764571765,0.13142131587089406,0.14462821179779953,0.1380794774655315,0.13095515755228654,0.11356875138583496,0.1281489385418862,0.1593505014598726,0.13835026319482102,0.1177984580400512,0.12720659550131502,0.11879894644198848,0.11712579594070148,0.18515660877833934,0.21492168758732327,0.14107348865455407,0.11892222253022768,0.10890146970469228,0.10223880400695494,0.10570895382038242,0.11834100619569267,0.0861050930676551,0.1082813093058736,0.12405546746488673,0.12006563495630188,0.1178119590673893,0.13543695466992545,0.11020525710947256,0.11711878900353033,0.11365500756856728,0.1139717627319624,0.13293870618254888,0.10844277914482148,0.11236316800904528,0.108387494478415,0.10654052805290667,0.1141084350513419,0.1136586302917873,0.11684832578945854,0.11414110130038865,0.10242659874681023,0.10795171133313146,0.11459757304198474,0.12346255340879607,0.1198847647944762,0.12756111996449704,0.13516402558616952,0.11916915732773264,0.11573125854417962,0.10518819580503093,0.11301794672716065,0.1111343549417463,0.11759808496739516,0.11176506548708416
figurative-0,0.5706214502760276,0.5627925019194797,0.5659727042341066,0.5621767207963849,0.5685121692464122,0.5683011741778821,0.5607998178970814,0.5693662790936653,0.5742926825669807,0.5595644261858415,0.5652475503931613,0.5449620716528931,0.5522718067120264,0.5548542261230152,0.5645882387098382,0.5679275811989888,0.5575155606142308,0.5625862405528766,0.5495075274870604,0.5534968714064623,0.5699840140645543,0.5560111421761178,0.5695692545184743,0.5978209986835165,0.5609617201593421,0.5677036746946922,0.5860522276760141,0.5508556080456896,0.5724249252180398,0.5685492238792894,0.5532167898357878,0.5599711388475007,0.5405588431151458,0.5525221067285171,0.5627147231981324,0.5492103815966015,0.5741426191393595,0.5579028604670487,0.5689881333973656,0.5817436229544246,0.5646705090828716,0.5789555581344357,0.5750436813127471,0.5692737403774866,0.5735315907235154,0.5783397906020965,0.5735507629152108,0.5837667055864033,0.587702114366183,0.5899803701688544,0.5689644024168922,0.5681492731947659,0.5882428966399111,0.5804123429094281,0.5908637142786597,0.5870134232216887,0.5787358682509542,0.5821088878334162,0.5775860592759262,0.5749432446628535,0.5719513457635117,0.5763169655645521,0.5806764450445383,0.5833912281521235,0.5740404100870956,0.5761350138283683,0.5797610024990444,0.5748193043214993,0.5749830146584299,0.5889813563142623,0.5969663487398039,0.5883168686653683,0.5826210356329155,0.5884690836957764,0.5750650442368065,0.5792745416623519,0.5741752439087371,0.5615331733486908,0.5716750865472584,0.5632401276136663,0.5491705513280444,0.5439602360698021,0.5561256485791919,0.5494825984052677,0.5785155053515934,0.5839413509053304,0.5694927134518971,0.5586814107844377,0.5544963758288791,0.559185887372355,0.5435644489204773,0.5466257272256134,0.5452497717306899,0.5529081939395996,0.5386688403450952,0.5224770803169805,0.5365441150848217,0.5319292775163812,0.5439159433482353,0.5371069759683659,0.5489805884329801,0.5405542161577642,0.5438565009468885,0.5376046311670053,0.5433647772243494,0.5535519724493977,0.5438503738658514,0.5431442277496895,0.5215614122583749,0.5307437763134009,0.5602487549462366,0.5575705471252602,0.543492143975716,0.5325631372860473,0.522958713955791,0.5318131050488977,0.5470862120831874,0.5391651096409388,0.527146008964742,0.5454592752168119,0.5480934158540948,0.5354837143984897,0.5370049502678005,0.5490285399513203,0.5391482507004267,0.537465144550422,0.5316164340132612,0.5420627107784882,0.5252843526543345,0.5357053407997888,0.5054795506285198,0.5474997828650593,0.5420524378997984,0.5417479847649431,0.5480056727148896,0.5485341514739213,0.5574613863440244,0.5467875365801267,0.5482410960937678,0.5423884150648093,0.5309393800347371,0.5442941759972169,0.5332012527625094,0.5372387654388044,0.5407967014547651,0.5221748572577687,0.5135642707396795,0.5224830522551178,0.5270976579333311,0.5323391688164227,0.5306577136061847,0.520428076196683,0.5276745022393637,0.5364975674418813,0.5273594546160918,0.5373325883285394,0.5357857512237979,0.5511307120709479,0.5378844773994339,0.5282818680330997,0.5274215268233998,0.531033816465314,0.5451447535627599
offensive-1,0.3394901920903628,0.336217761375927,0.3462450214213923,0.3490382302530233,0.3526026835878007,0.36463243468992,0.3630544798877368,0.3441799028507547,0.3374767693575204,0.35691952001663385,0.3661581377087896,0.3835728774457207,0.3687098599825949,0.3356242588773419,0.3366488183751609,0.3025598557688024,0.33461175936610565,0.3428873902413665,0.3828905556094405,0.3820790696985316,0.3687913515958387,0.3604443593676795,0.3559123626037992,0.3263665346591109,0.3498708375806189,0.34629778593682536,0.32480978551826684,0.3232824797661492,0.34159110989231506,0.34089550543654223,0.3653921694062433,0.3634131672537946,0.3416750802448498,0.3441438123976341,0.3390606593328306,0.3288126596034161,0.3301012711285803,0.3712899041092969,0.3903129700539893,0.3828737937437777,0.3603246386576966,0.3749081705094043,0.36640554302626505,0.3667199200543858,0.3582275027924372,0.3760338733901011,0.3772462341454215,0.3778882904437517,0.3609604505342272,0.3501371789198057,0.3520778444398111,0.3462139778336719,0.3421418596149089,0.33531971360217383,0.3469273662416018,0.3336937237378732,0.3347564344689111,0.34734768251189674,0.3360000083514847,0.3427920289536027,0.34596089522986845,0.33868556239632136,0.3426931671913181,0.3543881841353651,0.3465794348866321,0.3527191300721925,0.3397287054440619,0.33863296821900346,0.3306205006276164,0.3010493794766903,0.28209593593695875,0.29732812559634725,0.32606622273938823,0.31073998238121314,0.31926632895611096,0.30759160710611666,0.3128313980644972,0.31219862171455776,0.3106067201988564,0.31752871246427783,0.3585603839045311,0.3539476031596882,0.3308822278042909,0.3330313552113988,0.30599660493818553,0.2908586932333426,0.3050225059115941,0.32764592526462394,0.3610017964895423,0.3565015025391129,0.36413039065479297,0.3174636836216512,0.30003001483006425,0.2983926337642454,0.3400950042467111,0.3396275994359069,0.3320656119287371,0.3115077578091843,0.3085518837488035,0.3504457355344981,0.32965852048853744,0.3362503224258797,0.33770112001095803,0.34505448376403136,0.3252781933576237,0.3075035297121084,0.3286900695486317,0.3429795933128983,0.3380998206944168,0.3495903124725054,0.3442727416508378,0.345159505423852,0.3488515383044286,0.3480523879967371,0.3543796015380929,0.37116171699110617,0.3176460012503705,0.33936895290851393,0.351235593889255,0.34855714904214896,0.34772010978422985,0.3763114453272722,0.3669548499950128,0.32558130896346954,0.33911830051571024,0.3325125218973756,0.3334079915537303,0.3535920786634888,0.3568425032423366,0.3727196188428321,0.3781611441787499,0.3698165801916219,0.3536954903737957,0.3676928977452525,0.3722578721445437,0.3410120877848809,0.3846358801891294,0.3719927124062116,0.3598444096805337,0.3622666290824389,0.3711262134009008,0.37358750929639206,0.3640730688575379,0.3778841499606377,0.3478867791405146,0.3510979637100448,0.3660817413589744,0.3508043325021769,0.34917585980842514,0.37065352437791776,0.3692245240793432,0.3642642731864609,0.3573809265917071,0.3503830215985213,0.3591019027747521,0.3419267812521796,0.3552002682120064,0.34999676524968315,0.3723521692416897,0.3765744445519152,0.36680246775222863,0.3495194224150973,0.35014610523209505
