Descriptor,2016-08-30,2016-08-31,2016-09-01,2016-09-02,2016-09-03,2016-09-04,2016-09-05,2016-09-06,2016-09-07,2016-09-08,2016-09-09,2016-09-10,2016-09-11,2016-09-12,2016-09-13,2016-09-14,2016-09-15,2016-09-16,2016-09-17,2016-09-18,2016-09-19,2016-09-20,2016-09-21,2016-09-23,2016-09-24,2016-09-25,2016-09-26,2016-09-27,2016-09-28,2016-09-29,2016-09-30,2016-10-01,2016-10-02,2016-10-03,2016-10-04,2016-10-05,2016-10-06,2016-10-07,2016-10-08,2016-10-09,2016-10-10,2016-10-11,2016-10-12,2016-10-13,2016-10-14,2016-10-15,2016-10-16,2016-10-17,2016-10-18,2016-10-19,2016-10-20,2016-10-21,2016-10-22,2016-10-23,2016-10-24,2016-10-25,2016-10-26,2016-10-27,2016-10-28,2016-10-29,2016-10-30,2016-10-31,2016-11-01,2016-11-02,2016-11-03,2016-11-04,2016-11-05,2016-11-06,2016-11-07,2016-11-08,2016-11-09,2016-11-10,2016-11-11,2016-11-12,2016-11-13,2016-11-14,2016-11-15,2016-11-16,2016-11-17,2016-11-18,2016-11-19,2016-11-20,2016-11-21,2016-11-22,2016-11-23,2016-11-24,2016-11-25,2016-11-26,2016-11-27,2016-11-28,2016-11-29,2016-11-30,2016-12-01,2016-12-02,2016-12-03,2016-12-04,2016-12-05,2016-12-06,2016-12-07,2016-12-08,2016-12-09,2016-12-10,2016-12-11,2016-12-12,2016-12-13,2016-12-14,2016-12-15,2016-12-16,2016-12-17,2016-12-18,2016-12-19,2016-12-20,2016-12-21,2016-12-22,2016-12-23,2016-12-24,2016-12-25,2016-12-26,2016-12-27,2016-12-28,2016-12-29,2016-12-30,2016-12-31,2017-01-01,2017-01-02,2017-01-03,2017-01-04,2017-01-05,2017-01-06,2017-01-08,2017-01-09,2017-01-14,2017-01-15,2017-01-30,2017-01-31,2017-02-01,2017-02-02,2017-02-03,2017-02-04,2017-02-05,2017-02-06,2017-02-07,2017-02-08,2017-02-09,2017-02-10,2017-02-11,2017-02-12,2017-02-13,2017-02-14,2017-02-15,2017-02-16,2017-02-17,2017-02-18,2017-02-19,2017-02-20,2017-02-21,2017-02-22,2017-02-23,2017-02-24,2017-02-25,2017-02-26,2017-02-27,2017-02-28
bias-1,0.2346331440115845,0.2365348663757193,0.2356462096554681,0.2388158137174775,0.2398456355034001,0.2412105941023203,0.23881773664108205,0.2349895989421622,0.2317439439146404,0.2325977712604157,0.23451472780907434,0.2451161957846693,0.24120877007355274,0.23717569715339906,0.2348477980553341,0.23465611378289175,0.2396515696384441,0.2449961248075365,0.2389615401212701,0.2329882424691831,0.2318494041616704,0.2349389530894334,0.23591561519002424,0.2447053950700276,0.2423682393410969,0.2421384137352129,0.2569244008228763,0.2490842642302368,0.2370173276043637,0.2351940188925541,0.23641741043289646,0.246652651431976,0.22026575566812784,0.21682808845043008,0.2377337514438644,0.2544948313559835,0.23825794742469225,0.2376781663053288,0.2557349306002005,0.25846649116309195,0.2549659722587189,0.25390625118278753,0.2462512079365505,0.2390329648437834,0.24022215339127434,0.24433258464903235,0.2475283274318273,0.2431964202640569,0.2460145181560801,0.2494105502714608,0.2543552758424777,0.24661667484927285,0.2453401562398657,0.24582843459070025,0.24190657968213602,0.2496802978152005,0.2450712099410752,0.2509307555494874,0.24209499747808044,0.2361728916245434,0.23502692446532664,0.23518406493384286,0.2344126860991709,0.2409575523482969,0.2492280464634561,0.24388048596412815,0.2506356748680857,0.2441177526421703,0.26381210266471805,0.28955452072166754,0.3026968969157105,0.2690195114982972,0.26515899050680897,0.26057450978917385,0.2594655144771124,0.2498810675714113,0.2534292001561962,0.25522616042758506,0.25036789168422,0.2543309686319959,0.250254685836192,0.2553765557209063,0.2495282686767221,0.2483816827310568,0.2481319262230296,0.2552679506725721,0.2501094854963561,0.2411274426865866,0.2533281464963252,0.2447868516777365,0.23929611705366355,0.2406604660038349,0.2311338435882592,0.2472676097149873,0.23803010526238064,0.2453042560943189,0.24097376624673794,0.2332264103910749,0.2455297459866889,0.2388610489809271,0.2431072292761027,0.23780158732873485,0.2364938205983873,0.2280145287122201,0.2359911309666558,0.2354122810913127,0.2320370412672252,0.236548373801983,0.2412953993310994,0.24532249196139325,0.2526896741884189,0.2637864099041538,0.2549277123659206,0.2431856495823779,0.23928913044597405,0.2415905440810479,0.2375334265525722,0.2433788440583031,0.23635789666814805,0.24964766824212986,0.2394414891591949,0.2368511766433941,0.2586336493378691,0.25745459642872404,0.2465337261296321,0.2374911908478319,0.2298657336025881,0.2360053888080454,0.23194712791644395,0.2380600919673732,0.2525055398995226,0.24970155965646296,0.2536800081913997,0.2435447100720491,0.2546444009936563,0.2558505876240116,0.2397724771618261,0.24144496078604216,0.24908431089628694,0.24851947660061285,0.2607099635252612,0.2416980705758893,0.24007530468708466,0.2429479085265389,0.2406545722217585,0.2376022554155597,0.2396701193494526,0.2455301127243966,0.2361768556760354,0.2303539999419197,0.23875712397296506,0.2469278836480163,0.2589917110427447,0.2430322230618167,0.2402661809897509,0.2427398722174839,0.2391649557571451,0.2379059545393303,0.22920772475306375,0.2416785413803269,0.2485353414368665,0.24104780842138,0.2339916097039005
positive-1,0.054955845023234716,0.059876320873903134,0.05010651414931898,0.052297115075366926,0.058136770311548826,0.05110254619016498,0.05293997578825944,0.05565210372360335,0.053596245130094367,0.048844094835396736,0.050366772923390535,0.05510372478518779,0.05308752043305909,0.04979585216291441,0.05166010934383088,0.04771832409117562,0.05378099560592761,0.061773776109278575,0.0423132169911877,0.04765829238996208,0.05616190095210514,0.05157927925654685,0.0533160542938177,0.05832151821650373,0.05375636018254353,0.06361748006091937,0.07733682107098705,0.054869551565725566,0.05294598084485274,0.048826883242570486,0.042077439469453866,0.04689922767665805,0.04229785562804034,0.04225889059667106,0.05203912927383236,0.06222017606102548,0.06380470873987346,0.04474199192342478,0.04218726765373239,0.048683147702377375,0.054829339806445235,0.051201903163161255,0.04935666704302838,0.042977678873624935,0.04845774258453958,0.04665102038421002,0.04966773922120413,0.0479544070212547,0.052745389642343696,0.060527432920753126,0.06023668051293316,0.05914115690194916,0.06257832529909571,0.06836863056987312,0.06833041043306554,0.06480735441768723,0.06350144927941162,0.06501193126087303,0.0621468903979505,0.0593955426811989,0.06114448847650637,0.06220410158229533,0.05876450177633999,0.06331376766054299,0.06959301301310851,0.06302517306259764,0.07461857896233269,0.0661765427897388,0.08088893469903252,0.11890045425328592,0.1429524156537715,0.08218977299302684,0.07057244363877624,0.07623275232294036,0.07417000581591057,0.06546566367919876,0.07306810862940383,0.06503598857203981,0.06360170409408415,0.06830807034982103,0.05741440177036955,0.058904156531271686,0.059781387285186074,0.0583092809203626,0.06434167525977713,0.11921629058830888,0.07324508997917864,0.06394631385142863,0.059491448379580765,0.0621112552168524,0.05214877461519992,0.06633742550008967,0.06596604854902262,0.08752652656499592,0.05716828207373875,0.05945627918297301,0.058819957645728387,0.05954734761186795,0.0677018870489709,0.04846976893745883,0.05860928870926471,0.05522800854514179,0.05318908827567912,0.04593581148678488,0.05842734127633362,0.061595824080006537,0.050545335298619265,0.05341413739273839,0.062022438708128874,0.05735042566199691,0.0643860419109559,0.07592973177010162,0.07037805155935782,0.06482289502440075,0.049943311827988265,0.06244351611213767,0.09080078225126716,0.0702767451960357,0.0540878481064485,0.061522585966967136,0.05530943613393193,0.053522283510599976,0.11431109219801125,0.14732832725489453,0.0718404468416064,0.05425385112974802,0.047266881063734334,0.042606957552124236,0.044834857542713394,0.05383603543700929,0.035426746972181816,0.04701550236016283,0.059026027600735165,0.05474563815321043,0.05313817719928518,0.06519720307707197,0.04665809631971531,0.05190606814715412,0.04881937194742343,0.0488550396038638,0.0636962716678541,0.04586793560744913,0.048630880891687565,0.04573097419171596,0.0446775865548456,0.0490061348004048,0.048666465555966834,0.051367101877370286,0.0501961505756745,0.042061435535336575,0.04481986259010096,0.04867901313564333,0.05640404615946404,0.05273512436003245,0.06021761197391061,0.06518107903280983,0.05453089340529073,0.051530233514111776,0.04386807140049312,0.04858759181734616,0.04755332842200865,0.05233042380726221,0.04822523259808612
figurative-0,0.5775553629811481,0.569854372318795,0.5734377560871715,0.5685180043191531,0.5749607729055677,0.5750906798452092,0.5667461100997118,0.5763294190549081,0.5819898970385257,0.5659687851516664,0.5717591714102177,0.5495463106135331,0.5570262293988812,0.5599802684796896,0.5708921743059026,0.5750740560383825,0.5631519528210589,0.5688882170510317,0.5543329847168723,0.5587151514939644,0.5777913158775775,0.5619991860977886,0.5766329706439771,0.6082152762125097,0.5672978940141266,0.5751031954887046,0.5947419950295274,0.555697724780052,0.5794920230965415,0.5756183742949698,0.5589405039187239,0.5658201536791255,0.5440987979202426,0.5575243031195429,0.569319577387325,0.5545626370370077,0.5819738195509827,0.5638390773398921,0.5766105914554029,0.5908681039050794,0.5716789245676771,0.5888021556183833,0.5836422984791898,0.5767037259852731,0.5812305752831426,0.585578959875354,0.58142855255827,0.5929257036744321,0.5981642550956692,0.5999448818422095,0.5760658801175194,0.5745457607165122,0.5976600973149763,0.5897884209063106,0.6010683860987286,0.5965202248757099,0.5869470756183301,0.5908128329998383,0.5858667290689421,0.5824872364770717,0.5795941624108399,0.5842118496778648,0.5889994795720095,0.5923906601270573,0.5819791036534399,0.584050859087702,0.5882889146465169,0.5829349027757856,0.5829991592303306,0.5981784878076679,0.6066946383679093,0.5971029634542602,0.5910908498705851,0.5977017831706106,0.5825881522707537,0.5871390285662943,0.5816371337131818,0.5677627552999511,0.578579917517124,0.5689681067201413,0.5550342642781607,0.5486676559403993,0.5614527618923183,0.5546139883864503,0.5864580792821971,0.5910209552770963,0.5765501825331459,0.5647906567050666,0.560929425154655,0.5655080002184399,0.5483217553357547,0.5510875922154809,0.5498403663576581,0.5579924435691354,0.5425731291747029,0.5241450170643144,0.5390572695783148,0.5338392144999852,0.5473487922329144,0.5403751255768223,0.5535228753876216,0.5446252144002275,0.5486400017415298,0.5410827924439279,0.5476705159520571,0.5585523025394096,0.5481951571496497,0.5475928491807364,0.5234918713834833,0.5335720796468965,0.5664966267675893,0.5636144019491414,0.5482047645428854,0.5355571154267675,0.5248712131154487,0.5347424889960389,0.5499005764153111,0.5424904908164041,0.5298414380829035,0.5493520167920074,0.5520925923335293,0.5390692313061652,0.5399880870691294,0.5518336513399887,0.5428545309480347,0.5410736517852077,0.5343023506988154,0.5461812852867356,0.5272330588739395,0.5391934937815115,0.4987633767453107,0.5524718417745234,0.5466505538152717,0.5462065385356041,0.5531250557973655,0.5525312251964238,0.5627196539195228,0.5510988709707391,0.5536631872207994,0.5471405065709786,0.53602086466259,0.5484724034299445,0.5363178746803294,0.5415475459709362,0.5454592886357882,0.5243582536045654,0.5145971564023533,0.5238396892231894,0.5294565929238366,0.5358359563144508,0.5334817877027286,0.5220802013460499,0.5302462276833211,0.5394190510107119,0.5297816068706369,0.5407913604744284,0.5394929251863279,0.5557697497001192,0.5407543921918994,0.5315265026844067,0.5300620442352014,0.5343526231919363,0.5497925851721986
offensive-1,0.3013306318248207,0.2973218966035193,0.308288407365963,0.312515570293702,0.3174087478046115,0.33125697985478475,0.32910066833757023,0.30682724061277644,0.2986894295532332,0.3212195185316299,0.3330491684360346,0.35445268856395673,0.3367951287374007,0.2976598819733016,0.2987495593551157,0.25912617635845914,0.29548611335454056,0.3052958260073555,0.3531584022257631,0.3522019993411423,0.33680467240072354,0.32627424466680754,0.3214890720911768,0.28592035694720525,0.3130038878594296,0.3094014922899545,0.2847951848184378,0.2809071973554233,0.3037339604060317,0.3034226713877201,0.33253510936367525,0.3297171620525969,0.30292212614615555,0.3061202932354189,0.3007345879242487,0.288321844042257,0.2900918271397188,0.33945960084325644,0.36200197177438975,0.3530206258484461,0.3256181622359096,0.3432706544615852,0.33332800888802583,0.3342369193644301,0.3240393337402351,0.34483167872548465,0.34602161721248,0.3471390693694684,0.327121829701875,0.3146749148243418,0.3154928136745908,0.3091355527887489,0.3048509339991408,0.2963111504774022,0.3099864660668721,0.2948401237535859,0.2961821853166178,0.3108028687208892,0.297481235635812,0.3061357127069464,0.3095928499374425,0.3011471195637305,0.30555945668871315,0.3198339374627751,0.3103413425565209,0.3176685191819764,0.3021972760098617,0.30046863521856004,0.2902506512615243,0.2541652963630404,0.2303554238522663,0.252588668482599,0.2852992135479463,0.2683381720916076,0.27759206236552464,0.26555513388598184,0.270138139254811,0.268966431934753,0.2680942769655683,0.27516405481462697,0.3236067045737557,0.3181849675354569,0.2910901469606325,0.29352592637007024,0.2623506558856837,0.2434188936520784,0.26061492659824553,0.28755045594869866,0.3255897802174008,0.3210675654069849,0.3304774853938177,0.2750675957457087,0.2547310182694317,0.25273267071046096,0.3002173331474656,0.2998093928254783,0.2912315300623092,0.2673423443447588,0.2644359490835873,0.31346987365108897,0.288966301406912,0.2965875056882833,0.2981951801205891,0.3064910710366044,0.2831551337616811,0.2628368680786935,0.28770239607671005,0.3046102100564814,0.2981368557017791,0.31202717863797425,0.3066363871115097,0.3072412871297629,0.3111719153831677,0.3102431946811923,0.31793351992649344,0.3382752028164398,0.2748585470358497,0.30050190820595024,0.31365645463259145,0.3109658263493166,0.3100319927662101,0.34431305990581484,0.33436082999143835,0.28420582564805336,0.29984487672180804,0.2916424172167078,0.2930416118777231,0.3170703237159612,0.32042986265359863,0.3402072669461915,0.35025137215852736,0.3370364778169893,0.31758435819601466,0.3346265035891387,0.3399371757123633,0.3029678785719329,0.3549966009707361,0.3399496364768774,0.32517832245380585,0.32822410720854245,0.33892047342193155,0.34216763429272146,0.330132100022644,0.3467173669483997,0.31041389574258865,0.31463880565125113,0.332691695452087,0.3142836114103399,0.31219278647401066,0.3379170387280845,0.33654264503895714,0.3309162925398777,0.322715637405289,0.3147987455760207,0.3249111964466952,0.3046433163049644,0.3196829185454769,0.3136513320951801,0.3405817744594505,0.34545115521730657,0.3333771876836509,0.3130165062260792,0.3139355805924192
