Descriptor,2016-08-30,2016-08-31,2016-09-01,2016-09-02,2016-09-03,2016-09-04,2016-09-05,2016-09-06,2016-09-07,2016-09-08,2016-09-09,2016-09-10,2016-09-11,2016-09-12,2016-09-13,2016-09-14,2016-09-15,2016-09-16,2016-09-17,2016-09-18,2016-09-19,2016-09-20,2016-09-21,2016-09-23,2016-09-24,2016-09-25,2016-09-26,2016-09-27,2016-09-28,2016-09-29,2016-09-30,2016-10-01,2016-10-02,2016-10-03,2016-10-04,2016-10-05,2016-10-06,2016-10-07,2016-10-08,2016-10-09,2016-10-10,2016-10-11,2016-10-12,2016-10-13,2016-10-14,2016-10-15,2016-10-16,2016-10-17,2016-10-18,2016-10-19,2016-10-20,2016-10-21,2016-10-22,2016-10-23,2016-10-24,2016-10-25,2016-10-26,2016-10-27,2016-10-28,2016-10-29,2016-10-30,2016-10-31,2016-11-01,2016-11-02,2016-11-03,2016-11-04,2016-11-05,2016-11-06,2016-11-07,2016-11-08,2016-11-09,2016-11-10,2016-11-11,2016-11-12,2016-11-13,2016-11-14,2016-11-15,2016-11-16,2016-11-17,2016-11-18,2016-11-19,2016-11-20,2016-11-21,2016-11-22,2016-11-23,2016-11-24,2016-11-25,2016-11-26,2016-11-27,2016-11-28,2016-11-29,2016-11-30,2016-12-01,2016-12-02,2016-12-03,2016-12-04,2016-12-05,2016-12-06,2016-12-07,2016-12-08,2016-12-09,2016-12-10,2016-12-11,2016-12-12,2016-12-13,2016-12-14,2016-12-15,2016-12-16,2016-12-17,2016-12-18,2016-12-19,2016-12-20,2016-12-21,2016-12-22,2016-12-23,2016-12-24,2016-12-25,2016-12-26,2016-12-27,2016-12-28,2016-12-29,2016-12-30,2016-12-31,2017-01-01,2017-01-02,2017-01-03,2017-01-04,2017-01-05,2017-01-06,2017-01-08,2017-01-09,2017-01-14,2017-01-15,2017-01-30,2017-01-31,2017-02-01,2017-02-02,2017-02-03,2017-02-04,2017-02-05,2017-02-06,2017-02-07,2017-02-08,2017-02-09,2017-02-10,2017-02-11,2017-02-12,2017-02-13,2017-02-14,2017-02-15,2017-02-16,2017-02-17,2017-02-18,2017-02-19,2017-02-20,2017-02-21
bias-1,0.2349208381765677,0.2408942908179015,0.2423293984942136,0.2361481611646492,0.2329287435903429,0.2369468772397136,0.23989750006174024,0.23889577534558976,0.23524342184543426,0.2386353013467955,0.2399102627913505,0.2517469393778071,0.2460610048159817,0.2518863795160685,0.2466728739101144,0.24205749420335798,0.2453217659397928,0.2531476217541894,0.24087419679474764,0.2457902268444365,0.2439306710210859,0.2448432799577361,0.24582330070367844,0.2439905575929393,0.2452512397339273,0.2462815835715129,0.2653474701653141,0.260846472665829,0.244149754551367,0.2428569415670739,0.24206741952905536,0.24384181104602204,0.2280751343575225,0.22472983548884146,0.2326149507523472,0.2459250208036508,0.2412970643934149,0.2373581099013822,0.2441386554172952,0.2475291580924509,0.25444986222437804,0.24047113693915456,0.2399884016359423,0.2446901917751909,0.2466179366100361,0.2432561407328609,0.2409744719135689,0.2400983540779173,0.2445202494791497,0.2485031738220757,0.25615996863419965,0.2492181865020625,0.246829093169121,0.2480146711249161,0.2455709718180545,0.2461072816292953,0.24408143697375834,0.2503657617541891,0.2386262589059697,0.2380109077027616,0.23480883524732385,0.2344381716211321,0.2361985854049305,0.2470646883338526,0.2489459284504627,0.2493314104523245,0.2543501716610359,0.249597973888612,0.2739907833854097,0.307595151009748,0.30795550459939675,0.2780227762606089,0.27213912368215903,0.2639781551572281,0.259876395317703,0.2586900076539252,0.25924887095867505,0.25986579178809593,0.2664552785782833,0.2587281266729065,0.2500247469484164,0.25606936461641,0.25779580630261634,0.250582000304395,0.26878842623412363,0.2677798131514569,0.26465200382027393,0.25251874850151923,0.2550088834794901,0.2485268025068053,0.2431525882581332,0.2540910853119368,0.248851606011911,0.2550794192399003,0.25191761467147256,0.25474873909653245,0.2493868283825441,0.2536005237800521,0.2601621805292326,0.2514176458904453,0.2434252106788611,0.2384538829630012,0.23475738939956176,0.2279108847377825,0.23981082353001604,0.2423256919722365,0.2391508221893881,0.2419639217007337,0.2465802801732269,0.2503772846347012,0.256788985943517,0.26485074396303143,0.2534601876007305,0.2572199677472805,0.2450084066957095,0.2469808711443619,0.24129714766177296,0.267154748988734,0.2736117750289693,0.2728148086513256,0.254369647909436,0.251154455042777,0.2588170115488858,0.26090284282838305,0.25465122794642064,0.2496176759281183,0.2473151749891773,0.2504611094944637,0.2436713984504272,0.2566612618697188,0.2098478252689044,0.2539715091796221,0.2598449205405459,0.2615360474302983,0.2697960287158013,0.2688757681403581,0.26488439345249026,0.2601652061011569,0.2562961062653032,0.25267575817903465,0.2468337034886542,0.26645763753899704,0.2597029531149606,0.2562044861702764,0.2632137003223198,0.2561748676957021,0.2564048434918099,0.2569097144116339,0.2482442421275177,0.2430885476306828,0.2498578469066117,0.2610610505613104,0.2634489958550785,0.2563957832298864,0.27905150625018105,0.26749847931446896
positive-1,0.10568628696828623,0.10728727147943573,0.09924536391719506,0.09945321551526426,0.09759050138068268,0.1025089689673926,0.10238728360632746,0.10132431164464326,0.10246023492130507,0.09828404856563612,0.0995434189940038,0.10635497617148587,0.10156138734786146,0.09632799104081163,0.09882412346348728,0.09514717125630767,0.10480208584174787,0.10339544805097227,0.09519980433373118,0.10428606126431778,0.10674375157031198,0.10616698058718567,0.10132612224852854,0.11120827858684,0.11235508586888594,0.11691901686204595,0.12588582136325666,0.12823228855712296,0.11087571686719364,0.10455987685283984,0.09931856200141867,0.10420488150116884,0.09529765876254824,0.09655640086327616,0.09520366735696206,0.10036393151787147,0.10564607613212272,0.09819564472799308,0.0848803139883069,0.09406063988399906,0.1083460314412342,0.10310836480714622,0.10502416409462674,0.10268096332442106,0.10428645851953633,0.1008868502893764,0.10429817572843413,0.10415529087775392,0.10721083127672956,0.1136784000293939,0.1160537079274106,0.11984694477219116,0.11277171959177401,0.12218391736817552,0.1149053030848026,0.10880663402433076,0.14949764128933565,0.1190015944078626,0.10666524890982336,0.10690527014060693,0.10659812315028952,0.1050772597525172,0.09953258183943242,0.1147801606137211,0.1183054573322024,0.11479903253670692,0.12218390903867128,0.12206748605922275,0.14682993055414778,0.19122989643630045,0.17444437697729734,0.14810448763138495,0.1290031992185218,0.12264809549156908,0.1262276495501996,0.11426668007330487,0.12409995167530055,0.12956134678428402,0.1251041666813119,0.11531347122206458,0.10949962256074444,0.11710620183518218,0.1170018689761064,0.10969479233926407,0.13636097243487028,0.17648227918680398,0.1623954314144566,0.11597879077087135,0.10766952647334296,0.11147254563854188,0.10975723321486784,0.1097461455837397,0.118400858907068,0.12946420925074298,0.11174186291443358,0.1159837257667155,0.1157226378123688,0.11908513219214742,0.12247140834730914,0.10911906540736016,0.10093653217429632,0.09907498378780777,0.09423037062445627,0.09595819536503042,0.10149839144741674,0.1022684607376448,0.09617407907781376,0.09102358937471204,0.09314554590850893,0.10607547675686893,0.11667359437315725,0.11699447204859745,0.12327701100131525,0.1183944375956924,0.0940788335558497,0.10540603982574584,0.12289929633327427,0.11361747202652675,0.10693280327148948,0.10047123974156297,0.09339216577792216,0.09271804077502598,0.12844030910673682,0.15841073561730046,0.10893758949824107,0.09413446705925033,0.09492506705144936,0.0901234697453828,0.0918236188334329,0.11246909385514164,0.010925409988333334,0.09988333873139292,0.1022500479662988,0.10880298080404036,0.0903046882759744,0.1098945450926426,0.09760651775742298,0.10898859547953002,0.10408165828265743,0.10117001830837402,0.1413314775782616,0.10539864137430917,0.10132025455505693,0.10233307593791173,0.12664113757619844,0.10218561496528167,0.0953378670677346,0.10679154010878884,0.12155716527364252,0.09194252772072314,0.09616647265409024,0.10256777625215384,0.10942764788760707,0.095024733485405,0.18297874683519816,0.14572279845300928
figurative-0,0.6090692013814218,0.6060823010709137,0.5860284452673538,0.5843091601248012,0.5833151074171764,0.6006887011879296,0.5868948608135339,0.5917749708914322,0.5934554953721052,0.5795998797959512,0.5908120757106903,0.5637599567784458,0.5660824723086497,0.5791417217553939,0.5801801140680312,0.5799694182633474,0.5755422656175502,0.5883220325919318,0.5940143725110205,0.5901101153249123,0.5950136358199977,0.5923927103103159,0.6084146962278072,0.6021635712851676,0.6005576499832087,0.5942060531929314,0.6047335597417638,0.5837446889897939,0.6025970597604973,0.5970277553159831,0.5972052708700053,0.5866564473647329,0.5885599001376582,0.5849807854887848,0.5863361013754469,0.5805843194451847,0.5957027196455535,0.5927896885852403,0.6016757329523905,0.6157983375117797,0.5934286823170969,0.6046721354034804,0.6029249412006044,0.6081464002203891,0.6058974879584174,0.6121316727808295,0.6216102113765865,0.6194815832121465,0.6117301115941899,0.6147171140793352,0.5907434264266247,0.5965176304192132,0.6039069440686196,0.6065857769473014,0.6140646093698579,0.6082026669801694,0.6056683631926367,0.6063713425397631,0.5948506760427585,0.5881028783650225,0.5967936107624652,0.5909961936874282,0.583521710466963,0.6044347442119518,0.5970065888632022,0.6028840640282851,0.5987464762661998,0.6029012159791574,0.6143635525132451,0.6149742540740697,0.605694902588568,0.6185663877302425,0.6210697723467924,0.6198734706854763,0.6162640450826731,0.6129886937364575,0.6137490786911121,0.6138905480965051,0.6083000273560123,0.6130737929770839,0.6119345755690853,0.6142273880414534,0.6173739394784554,0.6388125254470471,0.6486472712876895,0.6289781488494254,0.6165984171798194,0.6031113611411176,0.618696307963318,0.6092137071486146,0.6065664465779048,0.5980385778351527,0.5986900188386269,0.6009779638184215,0.6004321550830835,0.6033790339476549,0.6053942604372057,0.6116555682179459,0.6042272209235938,0.6031866205578081,0.5867134603468462,0.5952468524001286,0.5954115714562314,0.603877514329364,0.6051781024006034,0.6083841756790396,0.6080325353516364,0.5974361425371243,0.5969141168370358,0.6055413275831281,0.610869781032591,0.6155094059049727,0.6141461924713278,0.6157162319375213,0.6151128792861935,0.608614914891881,0.6004280439113336,0.6070715253056332,0.6099064843442081,0.6096357138433874,0.6081793343774838,0.5939523305062832,0.5965910620801459,0.5981768514303623,0.6086789880334842,0.6103676578033052,0.6094106323369901,0.61597541053283,0.6059284859004543,0.6035286389822723,0.6759473532438278,0.622590124730918,0.6162236086688566,0.5995015464713545,0.6003062007188811,0.6016626030379774,0.6085357714339064,0.5975334009420289,0.5985544849027586,0.5968166272546868,0.5646039419544802,0.5973768006283277,0.5914621897735008,0.593257971289047,0.5676022089804429,0.5641315220806438,0.5734785391642974,0.5777504401402661,0.5704661895168524,0.594167117995287,0.5881371949818608,0.5872403348662788,0.5766670058954836,0.5779807222794486,0.5993873610851839,0.5772776200101726
offensive-1,0.34000914945612964,0.3430754733861929,0.35128270715354265,0.3503633909181592,0.3649501297355283,0.3534805602920682,0.3509538534742223,0.3439836903897241,0.3448284911594384,0.3528936771269434,0.35545790822987233,0.3949828931797015,0.3629347621239459,0.3221498876870646,0.3387342701278789,0.34509904305083755,0.3316714570122116,0.35007292901180165,0.3619155571677489,0.36557742604411697,0.3710769323780108,0.35099618685336603,0.3572554699140317,0.34152787687391545,0.3494522853500195,0.3569884520823593,0.3355867871861709,0.3148818038972723,0.3492484477817505,0.351952315054895,0.3630222947092164,0.36191477016933615,0.35309489370281705,0.3407597890803357,0.3686039311087037,0.3546343442417005,0.34643528704377674,0.3741428013832099,0.4174742185959639,0.3932387383979409,0.3527348798868021,0.361914042279886,0.360033550120541,0.3656416364539585,0.362843174180606,0.36741536178161466,0.36437446469177465,0.3663323422492801,0.3675306164497536,0.3496805394723865,0.345892784146329,0.3414219687278603,0.3456735639020786,0.3431313989806735,0.34681024872986665,0.34860310506173603,0.3202932667626806,0.3394344035706752,0.3426393969183991,0.3471612591534769,0.3474697158436784,0.3475527562856179,0.35610956972572705,0.3589980245438246,0.3570148416122385,0.3594163576214339,0.3565174277056801,0.3518449758002047,0.3175414115631855,0.2776371013000043,0.2772871999750177,0.2827794040226758,0.3145701651049421,0.32252544642095393,0.3264043566963061,0.3194337901447012,0.3212841146859369,0.3097769095820173,0.3082952351474286,0.33005605921535736,0.33994702461357945,0.33781763102822604,0.3281051413428986,0.3144278281207433,0.27223173490537034,0.2686125962945283,0.2851662842301337,0.3475893883044637,0.3750270289552614,0.3627973943051554,0.3514096419634872,0.32140641628729505,0.3118165644830435,0.3217850533516634,0.33794290551486833,0.3277120946124493,0.31776482554181457,0.31357657147105583,0.3149694271842652,0.3175892581387721,0.3529060959140255,0.34677072643217194,0.3409769612851169,0.3398036068963605,0.33984076559206955,0.3331301615232802,0.3425114726673527,0.3579012858400513,0.3629430844844943,0.3469461968538517,0.34443866374354604,0.35060117402639396,0.33402980131912435,0.3330642123586121,0.37260682298900394,0.3779437167286784,0.33316124113275514,0.35551699056557995,0.3555614565715364,0.3728647276846672,0.3727287566050267,0.38883665565198827,0.3550933435479934,0.3262776204393142,0.33578607492227913,0.3328175445471456,0.3357028153236055,0.35475648543831184,0.3584563110870401,0.34471800329919755,0.3029218260198832,0.3297708691408365,0.3400959019657899,0.33671799056470697,0.3482426805145824,0.3177822395110983,0.3691980406447269,0.3450872404193849,0.3424287888807224,0.34445261357467777,0.2807347050383638,0.3474708210456763,0.3508236735056139,0.3476013148917593,0.3243945883393431,0.3410995874998257,0.3539106657386367,0.3391341856567977,0.3337916056602581,0.3605612632386584,0.3563696782805032,0.3430064300759959,0.3579139587157392,0.34561781200491315,0.3025241936547578,0.3207023092904389
