Descriptor,2016-08-30,2016-08-31,2016-09-01,2016-09-02,2016-09-03,2016-09-04,2016-09-05,2016-09-06,2016-09-07,2016-09-08,2016-09-09,2016-09-10,2016-09-11,2016-09-12,2016-09-13,2016-09-14,2016-09-15,2016-09-16,2016-09-17,2016-09-18,2016-09-19,2016-09-20,2016-09-21,2016-09-23,2016-09-24,2016-09-25,2016-09-26,2016-09-27,2016-09-28,2016-09-29,2016-09-30,2016-10-01,2016-10-02,2016-10-03,2016-10-04,2016-10-05,2016-10-06,2016-10-07,2016-10-08,2016-10-09,2016-10-10,2016-10-11,2016-10-12,2016-10-13,2016-10-14,2016-10-15,2016-10-16,2016-10-17,2016-10-18,2016-10-19,2016-10-20,2016-10-21,2016-10-22,2016-10-23,2016-10-24,2016-10-25,2016-10-26,2016-10-27,2016-10-28,2016-10-29,2016-10-30,2016-10-31,2016-11-01,2016-11-02,2016-11-03,2016-11-04,2016-11-05,2016-11-06,2016-11-07,2016-11-08,2016-11-09,2016-11-10,2016-11-11,2016-11-12,2016-11-13,2016-11-14,2016-11-15,2016-11-16,2016-11-17,2016-11-18,2016-11-19,2016-11-20,2016-11-21,2016-11-22,2016-11-23,2016-11-24,2016-11-25,2016-11-26,2016-11-27,2016-11-28,2016-11-29,2016-11-30,2016-12-01,2016-12-02,2016-12-03,2016-12-04,2016-12-05,2016-12-06,2016-12-07,2016-12-08,2016-12-09,2016-12-10,2016-12-11,2016-12-12,2016-12-13,2016-12-14,2016-12-15,2016-12-16,2016-12-17,2016-12-18,2016-12-19,2016-12-20,2016-12-21,2016-12-22,2016-12-23,2016-12-24,2016-12-25,2016-12-26,2016-12-27,2016-12-28,2016-12-29,2016-12-30,2016-12-31,2017-01-01,2017-01-02,2017-01-03,2017-01-04,2017-01-05,2017-01-06,2017-01-08,2017-01-09,2017-01-14,2017-01-15,2017-01-30,2017-01-31,2017-02-01,2017-02-02,2017-02-03,2017-02-04,2017-02-05,2017-02-06,2017-02-07,2017-02-08,2017-02-09,2017-02-10,2017-02-11,2017-02-12,2017-02-13,2017-02-14,2017-02-15,2017-02-16,2017-02-17,2017-02-18,2017-02-19,2017-02-20,2017-02-21
bias-1,0.22277702279531594,0.2290423296329876,0.2307452925050644,0.2238997042511156,0.22061832201150547,0.22449389731841027,0.2280057018863778,0.2267253429489913,0.22313597165618715,0.2268141169835456,0.22798188241829603,0.2408346619510384,0.2343996252299376,0.2402887562365813,0.2349678366539608,0.2300071442485573,0.23391098260767765,0.2419258698012222,0.2292105001136089,0.2338515979397904,0.2320540917213871,0.23308426813000274,0.23395967487317745,0.2324432259979383,0.23372880570954305,0.2346982003210144,0.2543558894648835,0.2493858093754005,0.2319771826918678,0.23058493654633044,0.2304587077928082,0.2321656787967021,0.21548737993066006,0.2120088673974269,0.22023547951791148,0.2341996173172888,0.2295206798555377,0.22510984281494206,0.2323032449978497,0.2355165646520667,0.2427043144336463,0.2281920061075492,0.2275832848489304,0.23265685133452005,0.2344393173337189,0.2311340404250052,0.2288683159458666,0.2279566788586262,0.2322662333981634,0.236123785566638,0.2441874161837076,0.2373421035027433,0.235229591558442,0.2354200626858569,0.23295589932822824,0.2340873957586387,0.23228302712168106,0.2384614071813528,0.2262716255733985,0.2252286894636077,0.22204545763870848,0.2220155123575986,0.22353661982610268,0.2348500166096309,0.2364549498711276,0.23707365972337405,0.2419931386408204,0.2372466704962093,0.26215465829868745,0.29791159243168674,0.2988698787626632,0.26792428887880304,0.26164444564182315,0.2529514758153009,0.24870807341810336,0.247872304788535,0.2483306201805929,0.2487772665943466,0.2559388154776369,0.2475091836872073,0.2386723895777915,0.2448547474238203,0.2472843469289802,0.239299703407178,0.2575958438326855,0.2568351082645933,0.2529972187163377,0.2411368926401693,0.24411113009886584,0.2370664692501944,0.2310136033532347,0.2420817846016437,0.2376192766389981,0.24399314678828285,0.2400293228640325,0.2435959605244678,0.2377221039007798,0.2413631003097768,0.2488810491186224,0.2400040676813727,0.2309459991898349,0.2264872292098565,0.22220853205148225,0.2156341188073244,0.2274611629927171,0.23040855433869026,0.22720502918779825,0.2302443497863773,0.23530276688782545,0.23849609805141656,0.245329993271494,0.2538149204542301,0.2417261709275895,0.2462114248435109,0.2332933449737869,0.23500537359693344,0.22921335621638786,0.2569324120336925,0.26386754336673834,0.26295030621881565,0.2432274642242265,0.2400945585339519,0.2465953579755291,0.25008550224813136,0.2432302368515961,0.2383469677690977,0.2358968962148984,0.239233234677187,0.2314574931396796,0.2439902565908913,0.2098478252689044,0.2429068895265732,0.2490168591093129,0.25004307970147005,0.25940799345074683,0.25799727783843385,0.2543816830258112,0.2493390003665649,0.2450685429782556,0.2411936761285133,0.2352077591687564,0.2554142427711592,0.2484826836456557,0.2447843418615733,0.2524353681395196,0.24513414191843225,0.2451049562747088,0.24514198043637234,0.2366094628417925,0.2318346293573082,0.2380265624526701,0.2496413081577541,0.2526444936345023,0.2449912238546913,0.2688101829874893,0.2568048750497085
positive-1,0.04511954846089517,0.0488632745020875,0.04101771669649671,0.04114016870060249,0.040754190373501406,0.04413911633682136,0.0431786803022752,0.04281648926429474,0.04337074039675996,0.039551901910600366,0.04101552292526232,0.04626631481820092,0.04288947368534616,0.03940793026789958,0.04020273894525898,0.03891416723153078,0.04459876681561645,0.04427081219855604,0.038078115254802286,0.04400760104280693,0.04586176078564619,0.045893071429723716,0.0416152857270688,0.048214790055266465,0.0508306588159268,0.0544830056503885,0.060731349264698885,0.06167618955814489,0.047993895653037376,0.044065596270012664,0.041070054656546416,0.04494307819476303,0.037699760760598736,0.038429125696215836,0.03795969399462434,0.04073322210697465,0.046061273611316365,0.04081360238653353,0.0315444482182443,0.03735958736363737,0.045994583667601466,0.04459091713444376,0.044090113355225835,0.04253037870833987,0.0441468604346563,0.04235644113164762,0.04457788000667468,0.044631021184715056,0.047554912064731635,0.05142268453324023,0.05156273458934446,0.056026535136416665,0.05138211475849444,0.05862052745111925,0.05354829100286286,0.04690698223022422,0.08088604129067277,0.05487289147802378,0.046994967156393536,0.04747206604475265,0.046755204952210576,0.04513103639099928,0.0407938785778435,0.051395643822644735,0.05422718191127431,0.05210521581988098,0.05804260601516345,0.05769240874669044,0.07943414598705767,0.1253331235486707,0.10706327642250883,0.08423250638216727,0.06199095488799498,0.05688777545437732,0.05880445402315074,0.05000338938952528,0.058914847235918125,0.06235695841926174,0.05851743441436364,0.05072734271558155,0.04759602573234091,0.0529338183069332,0.05307023451405453,0.04716428949184887,0.07028812921921436,0.10795299696593824,0.09279088983430518,0.05326510323175833,0.04679477376567023,0.05011079584291701,0.04709766041071778,0.04786650162830044,0.05397625448104693,0.06289984380658506,0.049006676081795535,0.053691362336836634,0.052270879297747146,0.05492859987102847,0.057460129027196924,0.04725384807204111,0.040161219411762435,0.038863489101611866,0.036755907713389234,0.03815999864087335,0.0421893770329077,0.0436815189715076,0.03824156757823413,0.03468909562418017,0.03620828972114255,0.04369597963773192,0.0525028422249561,0.051970152746156746,0.05655420996987433,0.05455613396325388,0.03635245543222145,0.04494235934244758,0.05795164288557321,0.049312557730626885,0.04485910816704376,0.04142628987329916,0.035947240987626014,0.03526263956920122,0.06011895274742238,0.0851398385064549,0.046505998348606296,0.037887031391510964,0.03754196319648415,0.0343124818082637,0.03570054470114474,0.04921489494499561,0.010925409988333334,0.04124440993199506,0.04166564920660177,0.04799995724294163,0.03365028699608809,0.046821006408553086,0.03864784784262012,0.046458553733331534,0.04329657368989773,0.040574846507256866,0.0842120432328155,0.04319741756678453,0.04157418953175385,0.04239668380523213,0.06117457294196715,0.04106449302717935,0.03640969186827196,0.04515707054811302,0.055923626215547965,0.0334693343812963,0.03723544813464984,0.041427513500429135,0.04697013938514938,0.03764114768180842,0.11648278584581948,0.07663338591863479
figurative-0,0.6203491642240396,0.6181770554681619,0.5950138295451617,0.5923583151895893,0.5914354421583372,0.6113586946665068,0.5956538182171811,0.6015367709122821,0.6036904529370655,0.5880648769656699,0.6004351262732459,0.5708493645941493,0.5726724227538367,0.5859704920023039,0.5881296412505181,0.5877655404362498,0.5830471806440236,0.5974927533129971,0.6042900752809683,0.5994764597974273,0.6055849372304587,0.6025260608120689,0.620718619098703,0.6128512680234411,0.6113653360622339,0.6047790739875668,0.6159612355824866,0.5924495589738439,0.6132121017285106,0.6072962678516354,0.6081045800806993,0.5955871256434944,0.5974290565342144,0.5936534595391079,0.5949998158113119,0.5894592231886394,0.6056109044798776,0.6028080890061581,0.6134483621696023,0.6286144861466926,0.6029764748297629,0.6161903261675458,0.6141196096008796,0.6202313280486403,0.6174987782644771,0.6244161700945191,0.6347751723975626,0.6324431918906865,0.6231542760422324,0.6271963915784529,0.6004387333148326,0.6063680858765506,0.6147286882183108,0.6182444247082253,0.6265393523432368,0.6200549015165485,0.617329110747048,0.6177905030852159,0.6051839489260598,0.5974841780110162,0.607035229772271,0.6009098734055028,0.5921529037682719,0.6156879498250429,0.6077908268916106,0.6137755819138557,0.6092617847925581,0.6140834270071049,0.6265732127842571,0.6273100401536659,0.6160600478868213,0.6313901267728868,0.6338410103727014,0.632170877868639,0.6288403196078428,0.6250644093074276,0.6257266479224893,0.625884050238884,0.6188616105531686,0.6245843467539506,0.6245974100691034,0.6262136554814745,0.6295250510844379,0.6545428772191854,0.6658566344830347,0.6428838982462222,0.6294470816158814,0.6149211192487891,0.6319575923693151,0.6218901121474951,0.6193373599870553,0.6094368182762185,0.6099467815093849,0.6122795171172921,0.6113576205507568,0.6145170612808396,0.6164213991810922,0.6230727805678347,0.6162374985219997,0.6144001822148693,0.5957554207919407,0.6062101634377707,0.6067502388809539,0.6164625928417258,0.6171065547893123,0.6195601433062959,0.6204633681620177,0.6089088776125564,0.6080509901690674,0.6176901362367575,0.6235110345675465,0.6303854143118157,0.6273275365401332,0.6290257616465893,0.6290169786868098,0.6205715572976123,0.6108919433474129,0.6188840719752976,0.6221893850706047,0.6213933056787233,0.620142011061052,0.6050743335865192,0.6087393784518402,0.6087210585933516,0.6209386874394585,0.6226670070768219,0.6215314054761019,0.6297953500708476,0.6185275953290709,0.6138919915830597,0.6759473532438278,0.6357105339555162,0.6286460448660858,0.6114918448768101,0.6128938614908264,0.6131989384909349,0.6206680143415088,0.6088760814894734,0.6093151693522869,0.6072094258368511,0.5718441823480602,0.6083036685947036,0.6005468308282952,0.6039755990382106,0.5762798070971966,0.5728573327659678,0.5829475201660629,0.5872901260261204,0.5779182584023228,0.6046960376395589,0.598313300759402,0.596991383324773,0.5863870084306092,0.5873519736713411,0.611069457503839,0.5868338365239802
offensive-1,0.3033221652552936,0.3079426869160185,0.3162437613840155,0.315390412629142,0.3331541230944164,0.319883413458432,0.31641934584863995,0.3080616142554077,0.3090642110532134,0.3173769584852045,0.3214384512790366,0.36884943138365056,0.3307298606660769,0.2830267626412389,0.3021531628436729,0.30920150033481353,0.2933884286125657,0.3151357690105885,0.3293020465786855,0.3334714118655198,0.34075817385569385,0.3165480392316033,0.3240943013014904,0.30541552717756953,0.31456534811955633,0.32373673380341816,0.2980853698986438,0.2727788517137449,0.3141182493954942,0.3175699721051621,0.33179463802230796,0.3291982324123673,0.31825669776807275,0.3038438230866623,0.3365400026524397,0.3199234170743322,0.31084765651544016,0.3441727190923033,0.395908749677253,0.3669864798515745,0.31754637569409705,0.32934817116620674,0.32753794632185146,0.3345253127763065,0.3307712900222154,0.33623260757091045,0.33292690947213555,0.3356180975088489,0.3368278022076223,0.3150513948160622,0.30963752578208137,0.3048603638526438,0.3106087037224778,0.3077044454833311,0.3118269189016397,0.31355754760098803,0.2814344263080779,0.30336547751159143,0.3063816364033085,0.3117200807891767,0.3121625246061165,0.3124964772726423,0.32233088708505075,0.32627583167681296,0.3237301643022055,0.3268097664214711,0.3226531218610824,0.3171811251504799,0.2764406686964008,0.2286359222181752,0.22693848779162665,0.23527905026243,0.27359254848045444,0.28325073893282204,0.2882298419640653,0.2798867220654634,0.2812594227012127,0.2682795967239929,0.2661428369941221,0.2919769838025685,0.30290477670174754,0.30097090134525395,0.28913103063567563,0.2740818601179216,0.2261480077531152,0.22005484721081486,0.2385992896032203,0.31065209771654434,0.34264879863626097,0.32874268253977645,0.3155098340944673,0.28040639163343706,0.2696062047310097,0.2803890135895546,0.2990659267793522,0.28770854294247045,0.2762722690523522,0.27135776597220485,0.27300437273719386,0.27630627990625817,0.3185712963616815,0.31054036306986976,0.3039264757130046,0.30252073518227474,0.3020219235034489,0.2942928086223961,0.3058600179980213,0.3232169264577153,0.3292235456780649,0.3105125667297923,0.3071202967296597,0.3143540276217947,0.2954798219236708,0.2940132760033161,0.3410219679502398,0.3479243194055105,0.2944820249042555,0.32030256896922193,0.3200623775556126,0.3411857186915113,0.3410826764238721,0.3602656525882705,0.32064042873795034,0.2864453429648755,0.29817932054269325,0.2940976622363884,0.29726361578708393,0.3204124372869948,0.32482212062737714,0.30787438544411216,0.3029218260198832,0.2911381551107639,0.3027960714216517,0.2987635126162049,0.3108404211318493,0.2762005818582046,0.3372370637697269,0.3089542894309429,0.305325796003588,0.307568129615057,0.2438451860609663,0.31208778834611794,0.3148287234533732,0.3111094586387217,0.28218847899869604,0.3026327449257162,0.3179400513614559,0.3012600620482062,0.29523203125903696,0.3272314078580374,0.32215376997595463,0.3070006963959828,0.3251091883667461,0.3092734270530544,0.2590667614511021,0.2805486679146988
