tweet_text,created_at,n_words,party
@realDonaldTrump It was so great. Especially when you compared your administration to a fine-tuned machine! https://t.co/7MMZM8XqNw,2017-02-17 11:51:57,7,Rep
@Stonewall_77 @drscott_atlanta @CarmineZozzora @bfraser747 @realDonaldTrump Thank God we have a President now who cares! Ths 4 ur sacrafice!,2017-02-17 11:51:58,8,Rep
Well gosh if Rush said it was great... https://t.co/vlz436YLqb,2017-02-17 11:52:01,5,Nothing
@realDonaldTrump @FoxNews Poll: Trump's approval rating at 39 percent 😮👏👏🤣,2017-02-17 11:52:09,6,Rep
@Hyp0criteSlayer @realDonaldTrump and actually their headquarters is in Chicago regardless I don't have time for yo… https://t.co/g58UORfv8K,2017-02-17 11:52:15,6,Rep
@realDonaldTrump foxnews wasn't happy either! Best show i've ever watched,2017-02-17 11:52:17,7,Rep
"@realDonaldTrump The people have voted, not the media. Remain STRONG! #MakeAmericaGreatAgain",2017-02-17 11:52:22,6,Rep
@dapperlaughs @Chris194227 @realDonaldTrump oh really..london huh...then why in the F@$k are u commenting on OUR PRESIDENT?,2017-02-17 11:52:26,8,Rep
@realDonaldTrump Press conference was a discombobulated mess! You are an inept leader who is putting our country in… https://t.co/xGjdz2ipBI,2017-02-17 11:52:30,8,Rep
@realDonaldTrump STOP TRYING TO DISTRACT EVERYONE FROM YOUR SMALL HANDS,2017-02-17 11:52:31,6,Rep
"@realDonaldTrump When over really well, like a fine tune machine. FAILED NEWS. https://t.co/yYVuz6xcQS",2017-02-17 11:52:50,8,Rep
"@tonyposnanski @realDonaldTrump 
Don't kid yourself.Most of America LOVES watching the arrogant elitist Leftist hack press get bitch slapped",2017-02-17 11:52:55,12,Rep
@realDonaldTrump what this leftist  @RupertMyers means is that it wasn't fun watching you mop the floor with his fav. Liberal reporter.,2017-02-17 11:52:59,9,Rep
@morriscat63 @Reflog_18 @BriMAnderson @realDonaldTrump he has acted like an ass for the last month and bungled all kinds of shit,2017-02-17 08:47:10,8,Rep
Does anyone believe that this destabilizing shit show would be happening if @HillaryClinton had been elected? Anyone at all? #resistance,2017-02-17 08:48:11,9,Dem
Are Democrats &amp; Media Making Up A Russian Love Story Because They Lost The Election? @POTUS @usacsmret @jr7jc  https://t.co/csotgIB9sV,2017-02-17 08:48:21,9,Nothing
"In a way, @DrewGriffinCNN's report could be seen as a conduit from @DHSgov to @realDonaldTrump. A policy memo but without the dull language.",2017-02-17 08:48:27,10,Rep
@realDonaldTrump does not know the first thing about anything if he is smart then I am Einstein and my IQ IS only 1… https://t.co/Xatmk4OcpX,2017-02-17 08:49:02,9,Rep
@williamlegate @realDonaldTrump you mean like having 4 American killed &amp; lie &amp; losing 6billion at state dept? U r dumbed down as HRC said!,2017-02-17 08:49:35,17,Rep
"So now Rush is real news, everyone else is ""fake media"" GET HIM OUT NOW! @GOP https://t.co/IvQEhAhDrO",2017-02-17 11:51:39,8,Nothing
"What. A. Loser. @realDonaldTrump 
I like the fascists who DONT withdraw their orders.
#MAGA https://t.co/4zKDhGnOGB",2017-02-17 11:51:41,6,Rep
@realDonaldTrump that's my home. Wish I could meet you. Safe travels!,2017-02-17 11:51:51,6,Rep
@9thCircuitCourt  SHUT DOWN THE COURT 86% overturned  They are not doing their jobs!! WASTE OF TAX $$$$… https://t.co/waLxmRLJE7,2017-02-17 11:52:12,8,Nothing
@IngrahamAngle @Morning_Joe @realDonaldTrump The Media and the left will ride this to the end; We  have to make sure they don't take us too.,2017-02-17 11:52:15,8,Rep
"Trump lie #20,000. Truth- You have no plan for replacement.Even Trumpets want ACA which is Obamacare. Dance,… https://t.co/2s0pRWsOJt",2017-02-17 11:52:20,11,Dem
"@realDonaldTrump, you must have been watching the Russian media this morning.  Not what I'm hearing. https://t.co/Luxczgn6e5",2017-02-17 11:52:23,7,Rep
@patrioticsap @Million774 @realDonaldTrump I have and I do. I know lies when I hear them. I'm not a democrat.,2017-02-17 11:52:29,5,Rep
Will @realDonaldTrump fire the staff member who gave him #fakenews on his electoral college numbers? #maga #draintheswamp,2017-02-17 11:52:35,7,Rep
"@realDonaldTrump Got to see part of it during my lunch break, and absolutely loved it.",2017-02-17 11:52:48,7,Rep
...said one con man to another. https://t.co/GDhhu40zr2,2017-02-17 11:52:59,5,Nothing
