Descriptor,2016-08-30,2016-08-31,2016-09-01,2016-09-02,2016-09-03,2016-09-04,2016-09-05,2016-09-06,2016-09-07,2016-09-08,2016-09-09,2016-09-10,2016-09-11,2016-09-12,2016-09-13,2016-09-14,2016-09-15,2016-09-16,2016-09-17,2016-09-18,2016-09-19,2016-09-20,2016-09-21,2016-09-23,2016-09-24,2016-09-25,2016-09-26,2016-09-27,2016-09-28,2016-09-29,2016-09-30,2016-10-01,2016-10-02,2016-10-03,2016-10-04,2016-10-05,2016-10-06,2016-10-07,2016-10-08,2016-10-09,2016-10-10,2016-10-11,2016-10-12,2016-10-13,2016-10-14,2016-10-15,2016-10-16,2016-10-17,2016-10-18,2016-10-19,2016-10-20,2016-10-21,2016-10-22,2016-10-23,2016-10-24,2016-10-25,2016-10-26,2016-10-27,2016-10-28,2016-10-29,2016-10-30,2016-10-31,2016-11-01,2016-11-02,2016-11-03,2016-11-04,2016-11-05,2016-11-06,2016-11-07,2016-11-08,2016-11-09,2016-11-10,2016-11-11,2016-11-12,2016-11-13,2016-11-14,2016-11-15,2016-11-16,2016-11-17,2016-11-18,2016-11-19,2016-11-20,2016-11-21,2016-11-22,2016-11-23,2016-11-24,2016-11-25,2016-11-26,2016-11-27,2016-11-28,2016-11-29,2016-11-30,2016-12-01,2016-12-02,2016-12-03,2016-12-04,2016-12-05,2016-12-06,2016-12-07,2016-12-08,2016-12-09,2016-12-10,2016-12-11,2016-12-12,2016-12-13,2016-12-14,2016-12-15,2016-12-16,2016-12-17,2016-12-18,2016-12-19,2016-12-20,2016-12-21,2016-12-22,2016-12-23,2016-12-24,2016-12-25,2016-12-26,2016-12-27,2016-12-28,2016-12-29,2016-12-30,2016-12-31,2017-01-01,2017-01-02,2017-01-03,2017-01-04,2017-01-05,2017-01-06,2017-01-08,2017-01-09,2017-01-14,2017-01-15,2017-01-30,2017-01-31,2017-02-01,2017-02-02,2017-02-03,2017-02-04,2017-02-05,2017-02-06,2017-02-07,2017-02-08,2017-02-09,2017-02-10,2017-02-11,2017-02-12,2017-02-13,2017-02-14,2017-02-15,2017-02-16,2017-02-17,2017-02-18,2017-02-19,2017-02-20,2017-02-21,2017-02-22,2017-02-23,2017-02-24,2017-02-25,2017-02-26,2017-02-27,2017-02-28
bias-1,0.2238557189702988,0.2245517373085022,0.22371840476989746,0.2274226695299149,0.2278585098683834,0.2297300286591053,0.22691717743873605,0.22278738021850586,0.2191692441701889,0.22166920453310013,0.22258057445287704,0.23388610780239105,0.2291635125875473,0.22500883042812347,0.2230425328016281,0.2213271409273148,0.22800958156585696,0.2335813194513321,0.2278788611292839,0.22131584584712985,0.21961015462875366,0.22332990542054176,0.22448088228702545,0.23275649547576904,0.2304898053407669,0.23051539063453674,0.2443513199687004,0.2377012521028519,0.2249600738286972,0.22365596890449524,0.2267448529601097,0.2348613888025284,0.20745216682553294,0.2046180069446564,0.2256287559866905,0.2430633306503296,0.2262990176677704,0.2268231362104416,0.245084960013628,0.2469491958618165,0.24387719482183454,0.2427827157080173,0.23436331003904345,0.22753746807575226,0.22885217517614365,0.2333730943500995,0.23671459406614306,0.2322855070233345,0.2340591996908188,0.2374450266361237,0.2431103959679604,0.2351553589105606,0.2337750941514969,0.2338485121726989,0.2301670759916305,0.23822204768657684,0.2327568419277668,0.2386485710740089,0.2299268804490566,0.22419525310397148,0.22227587550878525,0.222330491989851,0.22139427065849304,0.2286514192819596,0.2363347038626671,0.23126682266592985,0.238839253783226,0.2317746616899967,0.2509729713201523,0.27681099623441696,0.29423047602176666,0.2630247250199318,0.2537650316953659,0.2496742270886898,0.24868716299533844,0.237876545637846,0.2427130788564682,0.2441650032997132,0.2391088157892227,0.24376442283391955,0.2402486726641655,0.2448447346687317,0.2389841079711914,0.2379063777625561,0.2378484904766083,0.2443667724728585,0.23959970474243164,0.2297990396618843,0.2424299567937851,0.2342679761350155,0.2282952517271042,0.2291901335120201,0.21872218325734136,0.2359121069312096,0.2269289419054985,0.23437427356839186,0.2298017144203186,0.2215058729052544,0.2346157431602478,0.22740454971790314,0.2320588529109955,0.22705551981925964,0.2253428250551224,0.21652746200561526,0.2246415168046952,0.22402843832969666,0.2209492921829224,0.2248547077178955,0.2302718013525009,0.2354429997503757,0.2410174906253815,0.2517428696155548,0.243728831410408,0.2316480055451393,0.2286247760057449,0.2301365286111832,0.2271336317062378,0.2326264455914497,0.22516567260026926,0.2390534728765488,0.2289156913757324,0.2259054705500603,0.2485597059130669,0.2470592856407165,0.234776109457016,0.22614642977714536,0.21859569847583774,0.22488300502300265,0.22042016685009005,0.2266370505094528,0.2445922493934632,0.23969056457281115,0.2429641485214233,0.2323175594210625,0.24393348395824435,0.24461899325251585,0.22867874801158905,0.23010844737291336,0.2381475530564785,0.2375929802656173,0.25248440355062485,0.2310263440012932,0.2282372713088989,0.2317391037940979,0.2293444536626339,0.22651348263025284,0.22819244861602786,0.23457359522581106,0.2246415987610817,0.21929602697491649,0.2275170236825943,0.2357523441314697,0.24535778164863584,0.2310520522296429,0.22765487432479856,0.23021291568875316,0.22843199223279956,0.2268375270068645,0.21706218644976616,0.23116931319236755,0.2365645617246628,0.2304968386888505,0.22267653048038485
positive-1,0.012751016,0.013430049,0.010582838999999998,0.011520898,0.012145942375,0.011246474125000001,0.011960433000000001,0.012348700249999999,0.012332691000000002,0.010925258,0.010649923000000002,0.011921918,0.011710117,0.01141433,0.011891182,0.010659004250000001,0.011674011,0.01386846,0.0090215555,0.010252719,0.012270247,0.01127466925,0.01194641,0.013035989,0.011990431999999999,0.01340421125,0.0164101905,0.011584355,0.0113757625,0.010839111499999998,0.0098740785,0.009839105,0.009338625,0.009524439499999999,0.0113305925,0.012924335,0.0142896175,0.010306856,0.009423922,0.010497135125,0.011465873999999996,0.011734810375000002,0.010788695749999999,0.009246023,0.01037079525,0.00983932925,0.010809252,0.010586456999999999,0.012188103,0.01341442,0.01219121275,0.012513614499999999,0.012916168,0.014685249,0.014019619,0.013964612,0.01336848425,0.0139100135,0.01388296625,0.013236035249999998,0.013707865,0.014063391750000001,0.012510540625,0.013851795,0.015185337625,0.014052081999999999,0.016136691,0.01473226,0.01776565125,0.02750669925,0.040253818,0.0166257585,0.014804556000000003,0.016437958625000002,0.016336067,0.014555258625,0.016493121,0.0145965255,0.014298924499999999,0.0145461905,0.013103593,0.013521688,0.014130995,0.0129230325,0.014469405,0.0250792235,0.016335355,0.0151804045,0.013843577,0.014768403999999999,0.012148760500000001,0.014979833500000001,0.015331537,0.0188258365,0.01317749875,0.013682476125,0.013051146999999999,0.0135390315,0.015811827,0.010774163375,0.013349871000000001,0.011973372,0.01217310375,0.010606782,0.012735817250000002,0.013911075,0.011338649499999999,0.011646462,0.014498135,0.013150363875,0.013966936000000001,0.016152576999999998,0.014896194,0.014656147999999997,0.0109138905,0.013943321000000002,0.0203065835,0.015419307,0.012358659,0.014420976625000003,0.012822525,0.01246432425,0.0191016945,0.025089773500000002,0.015167260249999997,0.0123883285,0.0109753405,0.01007174475,0.010203186999999999,0.011329276000000001,0.007034205,0.0108364745,0.0136708,0.011395661000000001,0.0116604295,0.012299045500000001,0.0096781905,0.010824336625000002,0.0099159215,0.009898663,0.012567650875,0.00994036425,0.0101913495,0.009745842,0.009589863,0.0098913,0.009794796,0.0108355205,0.011042063000000001,0.00943986525,0.009252452,0.009468394,0.0101736805,0.010246233125,0.011061892,0.012770696000000002,0.011667672875000002,0.011192245875,0.009404379,0.010423766999999999,0.008869845,0.010940466999999999,0.010278793
figurative-0,0.5822391510009766,0.5736084580421448,0.5772218108177185,0.5733124613761902,0.5796644836664201,0.5785948485136032,0.5706042647361755,0.5800853520631789,0.5873302817344666,0.5692940354347229,0.575728178024292,0.5524125099182129,0.5587961524724959,0.563184380531311,0.5763983726501465,0.5808767825365067,0.566735714673996,0.5737237930297852,0.5568828284740448,0.5619392395019531,0.5842275023460388,0.5657148063182831,0.5804257392883301,0.6158535480499268,0.5709563493728638,0.5793598592281342,0.6009753346443176,0.5633240342140198,0.5829442739486694,0.5785427093505859,0.5608439147472382,0.5663095712661743,0.5442870408296585,0.5587599277496338,0.5722569823265076,0.5563097298145294,0.5868177711963654,0.5664781332015991,0.5816794782876968,0.5974694639444351,0.5749810487031937,0.5973614305257797,0.5902234315872192,0.5818523764610289,0.5857373625040054,0.5890846103429794,0.5870495736598969,0.6003047823905945,0.6061153709888458,0.6086821556091309,0.5786882638931274,0.5778352618217468,0.6073144674301147,0.6015664935112,0.610784500837326,0.6059103012084961,0.5924987941980362,0.5974141955375671,0.5918974727392197,0.5881983637809753,0.5866886675357819,0.5908075273036957,0.5955796688795091,0.6000639200210571,0.5882727056741714,0.5901534259319305,0.594786137342453,0.5898513942956924,0.5902995914220811,0.6055082380771637,0.6080567240715027,0.6048748642206192,0.5981766283512115,0.6054134219884872,0.5883985161781311,0.5916893631219864,0.5864215195178986,0.5717336535453796,0.5828761160373688,0.5711841881275177,0.5600008070468903,0.5520811676979065,0.5645960569381714,0.5588182061910629,0.5941213369369507,0.5963625609874725,0.5831618905067444,0.5698588192462921,0.5670754909515381,0.5704615116119385,0.5525492429733276,0.5544578135013579,0.5533020943403244,0.5616756081581116,0.5443350076675415,0.5240373462438583,0.5393558740615845,0.5338048338890076,0.5487258136272429,0.5417880713939667,0.5543700456619263,0.5469335317611694,0.5516209155321121,0.5420142412185669,0.5509147942066193,0.5604804158210754,0.5510397851467133,0.5508987307548523,0.5240656137466431,0.5345111489295961,0.5706290602684021,0.5677340626716614,0.5516988635063171,0.5366455316543579,0.5258349180221558,0.5371394753456116,0.5494778454303741,0.5426400005817413,0.5313638150691986,0.5502215027809143,0.5544854402542114,0.5415134727954865,0.5414780378341675,0.5509745478630066,0.5443069636821747,0.5421813726425171,0.5356716215610504,0.54889115691185,0.5275728702545166,0.5434871315956116,0.4798230528831482,0.5559938848018646,0.5493544042110443,0.5487805306911469,0.5569746494293213,0.5533284097909927,0.5639181137084961,0.5520114749670029,0.5576370060443878,0.5507609248161316,0.5425643026828766,0.5504787713289261,0.5369231700897217,0.5437953472137451,0.5491680800914764,0.5253497958183289,0.5153557658195496,0.523522287607193,0.5307333022356033,0.5379393398761749,0.5352155566215515,0.5234247446060181,0.5352115333080292,0.5405057072639465,0.5324861258268356,0.5428580790758133,0.5421271920204163,0.5572437494993211,0.5409483015537262,0.5372323393821716,0.5368763208389282,0.5358950495719911,0.5487333238124847
offensive-1,0.21101167798042286,0.2063848078250885,0.21341592073440552,0.22079560160636905,0.2286607027053833,0.2368284389376641,0.23323336243629456,0.21503444761037827,0.20606383681297305,0.224850419908762,0.23532274365425104,0.252471536397934,0.2341104820370674,0.21074162423610687,0.211245521903038,0.19071149826049805,0.20326513797044754,0.21152263879776,0.25226324051618576,0.2536229193210602,0.24856948852539065,0.23292085900902745,0.2315201908349991,0.19839917868375773,0.21696895360946647,0.2181561067700386,0.2034038007259369,0.206524021923542,0.2120189070701599,0.21378454566001887,0.2344951704144478,0.23107412457466125,0.2095413990318776,0.213337890803814,0.20631093531847006,0.20121771097183228,0.20236804336309427,0.2327854037284851,0.25545191019773483,0.2463427744805813,0.2259623147547245,0.2423384785652161,0.23199061304330826,0.24015867710113525,0.2308565378189087,0.2456785403192044,0.24848292022943505,0.2505932077765465,0.22373394668102264,0.2171650528907776,0.2131063938140869,0.21265488117933276,0.20973579585552216,0.20422685146331787,0.2083379551768303,0.19936637580394745,0.2037599124014377,0.21099421381950376,0.20392803102731705,0.20907172560691836,0.21264366060495374,0.2070101797580719,0.20793773606419566,0.2213202118873596,0.21297109499573708,0.2188054472208023,0.20618731528520584,0.20501553639769554,0.19025632366538048,0.16082706302404404,0.14844930917024612,0.17842997610569,0.20158522576093674,0.18875063583254814,0.19337080419063568,0.1900883987545967,0.18883271515369413,0.1880697458982468,0.1875869631767273,0.1876008212566376,0.22425294667482376,0.22040797770023346,0.20238354802131653,0.20245866850018496,0.18553875386714933,0.16302918642759326,0.1812589019536972,0.20066723972558975,0.2226466536521912,0.22286576032638555,0.2340236827731133,0.18981648236513132,0.17927593365311625,0.17466263473033905,0.20456063002347946,0.2034997828304768,0.19932223856449127,0.18524901568889612,0.18241014331579208,0.21444346383214,0.19752606749534607,0.20493993163108826,0.2062811478972435,0.21266143023967746,0.1938878819346428,0.1829514652490616,0.19969280064105988,0.2120610475540161,0.20313557237386706,0.21588155254721644,0.2140694111585617,0.20709028840065,0.20995047688484192,0.2117546200752258,0.2210283353924752,0.2320609837770462,0.17979810386896133,0.20220033824443812,0.20732381939888,0.20994329452514648,0.21088692545890808,0.2401460111141205,0.2233456000685692,0.1820281073451042,0.20581479370594025,0.1999337449669838,0.2002521604299545,0.21639947593212128,0.21828444302082065,0.2316864877939224,0.246083602309227,0.2307524383068085,0.21903882175683967,0.2434355169534683,0.2415959909558296,0.21357500925660133,0.2649354785680771,0.2525448352098465,0.227676659822464,0.2332317233085633,0.2441428974270821,0.2558612897992134,0.23142294585704806,0.2487598508596421,0.21099290996789927,0.2217465937137604,0.2409876585006714,0.216473825275898,0.2184893824160099,0.2466114163398743,0.2465747445821762,0.2418073862791061,0.25545646250247955,0.23007811233401296,0.24059432744979856,0.21846716105937955,0.23260685056447986,0.22452519088983536,0.2602134495973587,0.2408940643072129,0.245296373963356,0.2215089574456215,0.2266831994056701
